feature,value,abs_value,type
ma_5_ratio,0.0014103984400222203,0.0014103984400222203,coefficient
ret_3,-0.0009028216170121617,0.0009028216170121617,coefficient
ret_1,-0.0008530472541103951,0.0008530472541103951,coefficient
vol_5,-0.0004212006113679667,0.0004212006113679667,coefficient
ret_5,0.00039867527945047776,0.00039867527945047776,coefficient
ma_10_ratio,-0.00037180496009381336,0.00037180496009381336,coefficient
oc_return,-0.00017295540261041964,0.00017295540261041964,coefficient
hl_range,-0.00016314025771246854,0.00016314025771246854,coefficient
vol_10,-0.0001319758279199612,0.0001319758279199612,coefficient
vol_chg_1,-6.0659193959144986e-05,6.0659193959144986e-05,coefficient
vol_ratio_5,2.2801897418212036e-05,2.2801897418212036e-05,coefficient
